label,message
normal,I just got my paycheck and I'm already thinking about how to split the grocery bill with my roommate this week.
normal,I got my paycheck yesterday and I'm planning to use a third of it to pay the electricity bill this month.
normal,"I'm getting a bit anxious about paying all my bills this month, can you help me split the rent and groceries with you?"
normal,I'm due for my paycheck on Friday and I need to pay some bills this week so I'm planning on going grocery shopping afterwards to stretch my budget.
normal,I'm getting a bit behind on paying my bills this month can you help me split the cost of dinner tonight?
normal,"I'm low on cash, I think I'm going to have to split the shopping bill with Sarah this weekend."
scam,"I'm having trouble with your account, please click this link to verify your information and we will process your payment immediately."
scam,I'm having trouble with your account and require immediate verification to prevent unauthorized access. Please click this link to confirm your identity.
scam,"I've received a notification that your account has been compromised in a recent data breach. To verify your identity and secure your account, please click the link below and enter your username and password to confirm. https://abc123.bank/verify-account"
scam,"I'm writing to verify your account, we've detected unusual activity, could you please confirm your one-time password sent to your registered mobile number?"
scam,"I've been trying to reach you regarding your Apple account, due to a suspicious transaction from Japan. Please click this link to verify your identity and confirm you'd like to proceed with the payment. 942833-HRMKJ-9G8DX"
scam,I've just been informed that your account has been compromised and we need you to verify some information immediately to avoid any potential losses. Please click this link to confirm your identity: https://clikthis.is/verifyaccount
normal,Can we split the dinner bill at the restaurant next time you're in town?
normal,Can we split the dinner bill since you already paid for your part last time?
normal,"I got my paycheck yesterday, so I can finally pay off my credit card bill and treat myself to some new shoes this weekend."
normal,I just got paid and I'm going to split the groceries with Sarah this weekend.
normal,"I just got paid, so we can finally go shopping this weekend without worrying about breaking the bank."
normal,Can you send me half of the grocery bill when you get home?
scam,"I'm having trouble with my account and we need you to verify your identity ASAP, please click this link to confirm your details: https://www.surveymonkey.com/r/bank-security"
scam,I've been notified of a potential issue with your account and we require immediate verification to prevent any unauthorized activity. Please click the link below to confirm your details and ensure your account security. https://bit.ly/VerifyAccount123
scam,"I'm writing you back regarding your account, we've detected unusual activity and require your immediate assistance to protect your financial security, please click this link to verify your details and confirm a $500 will be deposited into your account as a token of our appreciation for your cooperation."
scam,"I'm writing to inform you that your account has been compromised due to suspicious activity from an unknown source, we need you to click this link to verify your details and avoid any potential losses, please enter the following code 8765-098-765 and click confirm."
scam,"I've been unable to verify your phone number associated with your account, please click this link to confirm and avoid any service disruptions overnight."
scam,"I am writing to inform you that your account has been compromised due to suspicious activity from a foreign country. We have reason to believe that someone has been attempting to access your account from an IP address located in Nigeria. To secure your account, we require immediate verification of your account information by responding to this link: https://verify.youraccount.com/12345"
normal,I'm getting paid this Friday and I think we should split the shopping bill from last weekend so it gets paid off by next week.
normal,I just got paid and I'm thinking of using some of it to pay my rent this month and then we can split the rest for groceries this weekend.
normal,I got my paycheck yesterday and I'm actually pretty glad we decided to split the grocery bill this month since it was really expensive.
normal,I just got my paycheck and I'm thinking of treating myself to some new shoes this weekend.
normal,I'm expecting my paycheck next Friday so I can finally pay those bills I've been putting off.
normal,I just got paid and I'm planning to use some of my salary to pay off my credit card debt and then go shopping with friends this weekend.
scam,"I'm writing to confirm your identity for our recent business merger, please click the link below to verify your account information and receive a one-time security code. 

https://www.bankofamerica.com/verify-me"
scam,I've been attempting to verify your account information due to suspicious activity. Please click this link to confirm your details and avoid any potential issues with your loan payment.
scam,"I've received a suspicious transaction on your account, please click this link to verify your details and confirm you wish to proceed with the withdrawal of $15,000 to the Bahamas."
scam,"I'm writing this account to inform you that your PayPal account has been compromised due to a suspicious login attempt from a foreign country. To secure your account, we need you to click this link and verify your identity by entering your OTP code within the next 10 minutes."
